Place,Date,Class,Description
"Tuolumne County, California",March 2007,(Class B), - Possible road-crossing sighting in daylight near Strawberry
"Tuolumne County, California",November 2006,(Class B), - Possible vocalizations heard by resident near Twain Harte
"Tuolumne County, California",October 2006,(Class B), - Camping couple report possible vocalizations outside Long Barn around 6:30 AM
"Tuolumne County, California",July 2006,(Class B), - Possible vocalizations heard by mother and children at Lake Moran near Dorrington
"Tuolumne County, California",December 2003,(Class A), - Man has late night sighting near Twain Harte
"Tuolumne County, California",September 2003,(Class B)," - Possible nighttime encounter, food taken from hunters camping near Tuolumne"
"Tuolumne County, California",July 2002,(Class B), - Campers find stacked rocks and hear unusual rock banging near Strawberry
"Tuolumne County, California",September 2001,(Class B), - Possible vocalizations awaken campers in Clark Fork Campground
"Tuolumne County, California",September 2001,(Class B), - Women hear late night vocalizations at Sand Bar Flat Campground
"Tuolumne County, California",May 2001,(Class B), - Couple hear strange nighttime screams near Twain Harte
"Tuolumne County, California",April 2001,(Class B), - Man see large prints outside of Long Barn
"Tuolumne County, California",March 2001,(Class B), - BFRO Investigators detail activity around Twain Harte
"Tuolumne County, California",August 1999,(Class B), - Hiker has strange late night experience in Emigrant Wilderness
"Tuolumne County, California",August 1998,(Class A)," - Late night sighting by motorists travelling through Tioga Pass (Yosemite), a few miles beyond Crane Flat Campground"
"Tuolumne County, California",November 1997,(Class A)," - Sighting by woman in Eagle Meadow, above Strawberry"
"Tuolumne County, California",August 1994,(Class B), - Man hears late night howl in the Emigrant Wilderness
"Tuolumne County, California","June 1994,1995",(Class A), - Campers have sighting above Pinecrest
"Tuolumne County, California",November 1993,(Class B), - Two hikers have interesting experience near Strawberry
"Tuolumne County, California",August 1993,(Class A), - Man remembers seeing an animal move through a ravine near Yosemite
"Tuolumne County, California",June 1993,(Class A), - A Wildlife Biologist observes a large upright walking animal near Pinecrest
"Tuolumne County, California",September 1988,(Class B), - Family hears late night screams near Long Barn
"Tuolumne County, California",Summer 1985,(Class B), - Camper experiences strange night time visitor near Groveland
"Tuolumne County, California",October 1983,(Class A), - Friends have night sighting above Sonora
"Tuolumne County, California",September 1978,(Class B), - Hunters have strange night experiences near Groundhog Meadow
"Tuolumne County, California",August 1978/79,(Class A), - Girl has daytime sighting near Twain Harte
"Tuolumne County, California",July 1978,(Class A), - Three witnesses have daytime sighting near Strawberry
"Tuolumne County, California",Winter 1977,(Class B)," - Loud, High-pitched Animal Screams Heard Outside a Cabin Late at Night"
"Tuolumne County, California",October 1977,(Class B), - Witness reports loud screaming near Strawberry
"Tuolumne County, California",January 1977,(Class B), - Campers hear late night vocalizations at Carlon Station
"Tuolumne County, California",August 1971,(Class B), - Brothers have strange experience above Strawberry
"Tuolumne County, California",December 1963,(Class B), - Deputy Sheriff sees strange footprints above Strawberry
"Tuolumne County, California",January 1963,(Class B), - Large prints found below Cold Springs
"Tuolumne County, California",January 1963,(Class B), - 10-Ft. Shrieking Monster reported near Cold Springs
"Ventura County, California",August 1964,(Class A)," - Man retells his close, visual encounter at dawn on Pine Mountain as a young deer hunter"
"Ventura County, California", 1988,(Class C), - High-pitched Whistling Heard at Ant Campground
"Ventura County, California",Summer 1950,(Class A)," - Daylight sighting on the edge of Sespe Creek (CA Condor Refuge), in Los Padres National Forest"
"Yuba County, California",October 1959,(Class B), - Hunters Have Unusual Night Time Encounter
"Alameda County, California",May 1990,(Class A), - Night time sighting by two witnesses four miles south of Livermore
"Alpine County, California",September 2012,(Class A), - Deer hunter has sighting in Sierra Nevada Mtns south of Markleeville
"Alpine County, California",October 2005,(Class B), - Hiker leaves main trail and finds two sets of footprints
"Alpine County, California",November 2004,(Class B), - Family finds trackway near Bear Valley
"Alpine County, California",August 2002,(Class B), - Campers hear late night scream near Woodfords
"Alpine County, California",November 2001,(Class B), - Fisherman hears afternoon scream at Lake Alpine
"Alpine County, California",April 2000,(Class B), - Three hikers observe tracks while mountain biking on a trail in a canyon
"Alpine County, California",July 1983,(Class B), - Runner Hears Unusual Whistle Near Woodsford
"Alpine County, California",October 1982-83,(Class B), - Hunters are intimidated out of their hunting ground near Bear Valley
"Alpine County, California",December 1978,(Class B), - Tracks found by vacationers
"Amador County, California",October 2010,(Class A), - Motorists have sighting along Highway 88 north of Clements
"Butte County, California",September 2004,(Class B), - Photographer hears early morning vocalizations near Lake Oroville
"Butte County, California",June 2004,(Class B)," - At dusk, swimmers hear vocalizations and whistles near Lake Oroville"
"Butte County, California",July 2003,(Class B), - Mountain driver encounters creature crossing road near Oroville
"Butte County, California",September 2002,(Class B)," - Campers hear late night ""banging"" near Oroville"
"Butte County, California",September 1993,(Class A), - Forestry Worker Observes a Sasquatch in Clear-Cut Near Feather River
"Butte County, California",Spring 1985,(Class B), - Several reports of vocalization sounds. 
"Butte County, California",August 1980,(Class A), - Sighting by bow hunter / motorist at 6:30 AM near Butte Creek
"Calaveras County, California",October 2024,(Class B), - LAST NIGHT (10/11/24): Possible sighting of a sasquatch just outside Avery CA (Stanislaus NF)
"Calaveras County, California",July 2004,(Class B), - Family hears strange sounds near West Point at dusk
"Calaveras County, California",August 2003,(Class B), - Campers hear late night screams near Arnold
"Calaveras County, California",August 2001,(Class B), - Campers hear early morning screams near Calaveras Big Trees
"Calaveras County, California",August 1990,(Class B), - Group of hunters have unusual experience near Dorrington
"Calaveras County, California",June 1981,(Class B), - Sound and Footprint Reports from Stanislaus National Forest
"Calaveras County, California",December 1978,(Class B), - Teenager has a nighttime close encounter and then sees tracks in the snow in Avery
"Calaveras County, California",July 1977,(Class B), - Hikers have late night experience near Spicer
"Calaveras County, California",Fall 1968,(Class B), - Hunter locates large footprints near Railroad Flats
"Contra Costa County, California",February 2000,(Class B), - Screams heard in mountians near hwy 680
"Del Norte County, California",March 2006,(Class A), - 1AM sighting of a Bigfoot on Hwy 199 near Patrick Creek
"Del Norte County, California",October 2008,(Class B), - Husband and wife have a possible encounter in a KOA campground north of Crescent City
"Del Norte County, California",September 2001,(Class B), - Men hear two Bigfoot calling to each other
"Del Norte County, California",September 2003,(Class A), - Man in a 4x4 has a late night road encounter
"Del Norte County, California",September 2003,(Class A), - Fifty-four year old salesman has a very close highway encounter
"Del Norte County, California",November 2002,(Class B), - Humanoid print found after rain near Huckleberry patch. 
"Del Norte County, California",December 2001,(Class B), -   Calif. Del Norte County Jed Smith Park
"Del Norte County, California",September 2001,(Class A), - A young man observes a creature with a gorilla face
"Del Norte County, California",December 1998,(Class A), - Creature observed stepping up and over a fir sapling. 
"Del Norte County, California",August 1998,(Class B), - Vocal communications heard between two separate animals. 
"Del Norte County, California",June 1998,(Class B), - Screams heard several times over a period of four days. 
"Del Norte County, California",September 1997,(Class B), - Possible whistles and stalking outside Gasquet and Patrick Creek
"Del Norte County, California",June 1997,(Class B), - Loud 'whoop' vocalizations heard
"Del Norte County, California",August 1995,(Class A), - A television production crew from Los Angeles videotapes what appears to be a Bigfoot
"Del Norte County, California",August 1993,(Class A), - A field researcher describes the events of his two week long solo backpacking trip in the Bluff Creek area
"Del Norte County, California",Summer 1993 or 94,(Class B), - Camper at Mill Creek Campground heard three screams that echoed through the forest
"Del Norte County, California",January 1993,(Class A), - Witness observed creature watching him
"Del Norte County, California",December 1985,(Class A)," - Campers hear screams, and find large footprints"
"Del Norte County, California",October 1985,(Class B), - Campers hear late night scream near Gasquet
"Del Norte County, California",Fall 1983,(Class A), - While looking out of her livingroom window when she was a child she saw a dark brown creature walk between two trees
"Del Norte County, California",January 1979,(Class A), - Vehicle passenger's daylight sighting near Hiouchi
"Del Norte County, California",May 1979,(Class A), - While sitting around a campfire witnesses saw a set of red glowing eyes
"Del Norte County, California",September 1975,(Class B), - Family sees prints near Crescent City
"Del Norte County, California",October 1967,(Class A)," - Two men on horseback film a bigfoot as it retreats out of the creek bed and into the woods. The footage is referred to as the Patterson-Gimlin footage, named after the two men who obtained it"
"El Dorado County, California",October 2022,(Class B), - Possible sighting and tree shaking on S. Fork American River 30 miles NE of Sacramento 
"El Dorado County, California",July 2014,(Class B), - Two campers take photos of what they see in the trees in the El Dorado National Forest
"El Dorado County, California",July 2009,(Class A), - Nightime sighting by a couple along a main highway between South Lake Tahoe and Placerville
"El Dorado County, California",August 2007,(Class B), - Possible brief daylight sighting by a U.S. Forest Service botonist outside Phillips
"El Dorado County, California",July 2006,(Class B), - Possible vocalizations heard near Lake Tahoe
"El Dorado County, California",August 2005,(Class B), - Fisherman has an evening encounter with two upright figures near Stumpy Meadows Lake
"El Dorado County, California",August 2005,(Class A), - Backpacker's moonlit encounter near the trail from Wright's Lake to Enchanted Pools
"El Dorado County, California",May 2005,(Class B), - Man sees and photographs large print on shore of Lake Tahoe
"El Dorado County, California",Winter 2004,(Class A), - Couple Has Early Evening Encounter Near Stumpy Meadow Reservoir
"El Dorado County, California",June 2003,(Class B)," - Brothers hear unusual, late-night vocalizations near Sly Park"
"El Dorado County, California",Fall 2003,(Class A), - Man has early morning sighting near Sly Park
"El Dorado County, California",August 2003,(Class B), - Campers hear late night screams near Pollack Pines
"El Dorado County, California",July 2003,(Class A), - Couple have night sighting near Lake Tahoe
"El Dorado County, California",September 2002,(Class B)," - Quad riders find fresh footprints, encounter overwhelming stench near Stumpy Meadows"
"El Dorado County, California",August 2001,(Class B)," - Campers hear more nighttime vocalizations at Sugar Pine Campground, on the west side of Lake Tahoe"
"El Dorado County, California",September 2000,(Class A), - Night sighting by two motorists near Lake Tahoe
"El Dorado County, California",July 2000,(Class B), - Campers hear nighttime vocalizations at Sugar Pine Campground on the west side of Lake Tahoe
"El Dorado County, California",July 2000,(Class B), - Hikers hear strange screams in the Desolation Wilderness
"El Dorado County, California",July 2000,(Class A), - Hikers see creature in Desolation Wilderness
"El Dorado County, California",June 2000,(Class A), - Sound reports from resident in South Lake Tahoe
"El Dorado County, California",July 1996,(Class A), - Placerville track found and cast
"El Dorado County, California",April 1996,(Class A), - Car passenger has nighttime sighting near Lake Tahoe
"El Dorado County, California",April 1993,(Class A), - Two hikers have morning sighting in the Desolation Wilderness
"El Dorado County, California",Summer 1986,(Class A), - Lake Tahoe sighting by a motorist
"El Dorado County, California",January 1983,(Class A), - Man has sighting after massive landslide on Highway 50
"El Dorado County, California",August 1976-77,(Class B), - Family finds large footprints and hears strange sounds near Pollock Pines
"Fresno County, California",August 2014,(Class A), - Travelers have a nighttime sighting of two hairy bipeds on Hwy. 180 near Grant Grove
"Fresno County, California",October 2006,(Class B), - Possible sighting and howls heard by deer hunters in John Muir Wilderness.
"Fresno County, California",July 2006,(Class B), - Hikers describe possible stalking and vocalizations the John Muir Wilderness
"Fresno County, California",July 2005,(Class B), - Camper hears nightime vocalizations near Florence Lake.
"Fresno County, California",October 2001,(Class A), - Hunter has daytime sighting near Huntington Lake
"Fresno County, California",September 2001,(Class B), - Hikers find footprints and hair near Huntington Lake
"Fresno County, California",October 1999,(Class B), - Cousins have late night experience with strange screams near Huntington Lake
"Fresno County, California",July 1998,(Class B), - Campers hear strange late night sounds near Florence Lake
"Fresno County, California",December 1997,(Class A), - Two 4-wheelers have night sighting above Huntington Lake
"Fresno County, California",October 1995,(Class A), - Two fisherman have daytime sighting above Huntington Lake
"Fresno County, California",September 1995,(Class B), - Witness heard a large animal moving in the forest
"Fresno County, California",February 1995,(Class C), - Howling followed by speech-like vocalization heard
"Fresno County, California",June 1991,(Class A), - Three young adults encounter large aggressive biped while fishing the San Joaquin River
"Fresno County, California",August 1984,(Class B)," - Three teenagers hear vocalizations at dusk, while fishing in Doris Lake in John Muir Wilderness"
"Fresno County, California",August 1981,(Class B), - Teenager hears unusual daytime vocalization near Courtright Reservoir
"Fresno County, California",September 1973,(Class B), - Two campers find a 17 inch footprint near their camp
"Fresno County, California",July 1968,(Class A), - Sighting by a Backpacker Near Bullfrog Lake
"Humboldt County, California",September 2024,(Class B)," - YESTERDAY (09/01/2024): Hikers hear chatter and whoops of a large animal in Founders Grove, 33mi SE of Eureka"
"Humboldt County, California",January 2022,(Class B), - Possible sasquatch vocals heard by hikers in Humboldt Redwoods State Park
"Humboldt County, California",June 2021,(Class B)," - Possible ""Ohio howls"" heard on Hoopa Indian Reservation"
"Humboldt County, California",January 2021,(Class B), - Possible night sighting by motorist on Hwy 101 six miles south of Garberville
"Humboldt County, California",November 2019,(Class B), - Mattole River Watershed (Lost Coast region) resident reporting loud knocks and vocalizations.
"Humboldt County, California",February 2013,(Class B), - Four witnesses in a vehicle see a probable sasquatch 1 mile north of Trinidad
"Humboldt County, California",August 2007,(Class B)," - Campers hear multiple, pre-dawn vocalizations in Humboldt Redwoods State Park"
"Humboldt County, California",October 2006,(Class A), - Possible sighting by motorist beside Highway 101 between Orick and Trinidad
"Humboldt County, California",August 2006,(Class B), - Possible vocalizations heard in Humboldt State Redwoods
"Humboldt County, California",August 2000,(Class B), - Possible vocalizations heard by backcountry hikers in Redwoods National Park
"Humboldt County, California",July 2005,(Class B), - Possible vocalizations near Bluff Creek
"Humboldt County, California",April 2003,(Class A)," - Fisherman has a short first encounter on a damp afternoon, as a creature crosses the road in front of his vehicle"
"Humboldt County, California",May 2003,(Class A)," - Fisherman has a second encounter on a rainy afternoon, as a upright animal moves from a streambed. "
"Humboldt County, California",July 2004,(Class B), - Two campers hear creatures calling throughout night near Bluff Creek
"Humboldt County, California",November 2003,(Class B), - Campers Hear Unusual Evening Sounds
"Humboldt County, California",June 2003,(Class B), - Couple see large prints near Orick
"Humboldt County, California",June 2003,(Class B), - Hiker sees footprint near Willow Creek
"Humboldt County, California",Spring 1978,(Class B), - Prospector has possible morning encounter on east side of Hoopa Valley Indian Reservation
"Humboldt County, California",July '96  ,(Class B)," - Three people looking for Sasquatch sign, while camping in the Bluff Creek area of California"
"Humboldt County, California",November 2001,(Class B), - Forest Service employees see footprints in Six Rivers National Forest
"Humboldt County, California",May 2001,(Class A)," - While conducting sound survey project, two team members see Bigfoot"
"Humboldt County, California",July 2000,(Class A), - Road-crossing sighting by motorists on Hwy 101 while passing lagoon near Trinidad
"Humboldt County, California",June 2000,(Class A), - Daylight sighting by motorist on Johnson's Creek Road (off Bald Hills Road) near Redwood National Park
"Humboldt County, California",June 2000,(Class A), - wildlife biological technician sees Bigfoot while working in the woods
"Humboldt County, California",April 2000,(Class A)," - ""Unknown"" Vocalization Sounds Heard and Broadcasted by a Group of Six Hikers, While Camping Overnight at Lake Shore Forest Service Campground"
"Humboldt County, California",August 1999,(Class A), - Creature observed scratching. 
"Humboldt County, California",August 1999,(Class B), - High-pitched vocalization sounds heard by woman playing solitaire at her kitchen table
"Humboldt County, California",March 1999,(Class A), - Upright hair covered figure seen beside river
"Humboldt County, California",June 1996,(Class B), - Thirteen and a half inch track found at Fish Lake (near Bluff Creek). 
"Humboldt County, California",September 1995,(Class B), - Campers report hearing sounds in the woods which are often associated with bigfoot sightings
"Humboldt County, California", 1993 or 1994,(Class A)," - Daylight sighting by a horseback rider, near a pond in Redwood National Park"
"Humboldt County, California",March 1994,(Class B), - Plinkers find pushed-over trees blocking a road and smell foul smell near Horse Mountain
"Humboldt County, California",July 1992,(Class A), - Early morning sighting by motorist along the Eel River
"Humboldt County, California",September 1991,(Class A), - Sighting by two backpackers
"Humboldt County, California",April 1991,(Class B), - Strange frightining noises in Redwood grove north of Philipsville
"Humboldt County, California",July 1989,(Class B), - Tracks found on the bank of the Trinity River across from Tish Tang Campground
"Humboldt County, California",October 1988,(Class A), - Woman has close up night sighting in car lights on Highway 299
"Humboldt County, California",October 1985,(Class B), - Large footprints found by witnesses
"Humboldt County, California",August 1981,(Class B), - Campers smell foul odor
"Humboldt County, California",June 1975,(Class A)," - Bigfoot sighted in Stony Lagoon  south of Orick,Ca by two men camping who were so frightened they left in middle of night. "
"Humboldt County, California",September 1969,(Class B), - Father and son see large footprints outside Orick
"Humboldt County, California",July 1965,(Class A), - Teens have unusual experience near Myers Flat
"Humboldt County, California", 1964,(Class A), - Sisters have a sighting at different times in the mid 1960s
"Humboldt County, California",August 1963,(Class A), - Teen has daytime sighting near Myers Flat
"Humboldt County, California",April 1961,(Class B), - Hunters have unusual late night experience near Willow Creek
"Humboldt County, California",Summer 1957 or 58,(Class A), - Three children have daytime sighting near Eureka
"Imperial County, California",November 1999,(Class A), - Truck driver has a short but memorable encounter
"Inyo County, California",November 2018,(Class B), - Couple experience large rock thrown and possible bluff charge in Inyo National Forest
"Inyo County, California",December 1975-76,(Class A), - Two men recall a nighttime face to face encounter on lonely Hwy. 395
"Inyo County, California",July 1991,(Class A), - Camper's encounter with a Bigfoot outside tent in North Lake Campground near Bishop
"Inyo County, California",May 1980,(Class B)," - Man describes childhood incident, a possible approach at Seven Lakes"
"Inyo County, California",September 1972,(Class A), - Hiking boy has close encounter in High Sierra
"Inyo County, California", 1970,(Class B)," - A large, unseen growling animal breaks large branches as it moves quickly up a hillside"
"Kern County, California",January 2010,(Class B), - Two young men hiking outside Tehachapi come across possible tracks
"Kern County, California",February 2009,(Class B), - Young man and his Aunt & Uncle observe large tracks just below their horse pasture in Tehachapi (w/photos)
"Kern County, California",September 2007,(Class B), - Possible vocalizations heard outside Inyokern
"Kern County, California",Fall 1976,(Class A)," - At noon, a young lady on horse back has a face-to-face encounter"
"Kern County, California",September 1989,(Class B), - Hunter hears early morning vocalization not far from Weldon
"Kern County, California",January 2004,(Class A), - Surveyor has daytime encounter in the Tehachapi Mtns near Frazier Park
"Kern County, California",September 2003,(Class B), - Deer hunter finds possible footprints on Mt. Breckenridge
"Kern County, California",October 2002,(Class B), - Forest Service employees see big footprints near Lake Isabella
"Kern County, California",October 2002,(Class B)," - Hunters hear, and possibly see, a strange creature near Lake Isabella"
"Kern County, California",August 1994,(Class B), - Camper experiences unusual early morning scream near Kernville
"Kern County, California",October 1992,(Class A)," - A daylight sighting near Frazier Park, by a hiker"
"Kern County, California",February 1980,(Class B), - Possible nighttime road crossing sighting by motorist near Lamont.
"Lake County, California",August 2002,(Class B), - Hunters have strange experiences and make an unusual discovery.
"Lassen County, California",August 2022,(Class B), - RECENT: Campers hear bigfoot-like howls 11 miles west of Susanville
"Lassen County, California",July 2005,(Class B), - Possible vocalizations heard by resident near Lassen National Forest
"Lassen County, California", 1990,(Class A), - Creature seen walking away at a fast pace. 
"Lassen County, California",August 1982,(Class A)," - Daytime sighting by two hikers, near Lost Creek in Lassen National Forest"
"Los Angeles County, California",November 1976,(Class B), - Possible tracks found in snow and mud on family property many years ago near Lake Hughes
"Los Angeles County, California", 1993,(Class A), - Man remembers sighting while driving on a lonely dark two-lane road near Gorman 
"Los Angeles County, California",May 1980,(Class A), - Man describes incident in teen years: Daylight encounter by two young men in the Green Valley area
"Los Angeles County, California",April 2002,(Class B), - Possible intimidation in the late afternoon reported by hikers in the Big Tujunga Canyon area.
"Los Angeles County, California",October 1990?,(Class B), - Possible growling at hikers near the San Gabriel Wilderness
"Los Angeles County, California",October 1974,(Class A), - Two young men have a face to face encounter
"Los Angeles County, California",September 1976,(Class B), - Varmint hunter has a night encounter with a large animal
"Los Angeles County, California",June 1976,(Class A), - One of three incidents in a restricted area
"Los Angeles County, California",October Early 70's,(Class A)," - Early 70's, Sighting by a deer hunter, off of Highway # 2, in the San Grabriel Mountains"
"Madera County, California",October 1988,(Class A), - Early dawn sighting by hunters near Bass Lake
"Mariposa County, California",August 1992,(Class B), - Man sees unusual stacked rocks in Yosemite
"Mariposa County, California",Spring 1970-1972,(Class B), - Possible BF-related incidents around a home near Guadalupe Pass
"Mariposa County, California",March 1963,(Class A), - Two teenagers have late night sighting near Coulterville
"Mendocino County, California",July 2008,(Class A), - Man Has Face to Face Encounter Outside of Willits
"Mendocino County, California",December 2007,(Class A), - Paranormal investigator describes encounter near Covelo
"Mendocino County, California",September 2006,(Class B), - Possible intimidation/interaction heard by couple on two occasions in route to Fort Bragg
"Mendocino County, California",May 2004,(Class B), - Hikers Find Multiple Tracks Near Covelo
"Mendocino County, California",January 2005,(Class B), - Family hears unusual calls
"Mendocino County, California",September 1978 -1979,(Class B), - Hiker finds an “A” frame type of nest in the Mammoth Lakes area
"Mendocino County, California",Summer 1987,(Class A), - Woman hears late night scream and has close encounter near Laytonville
"Mendocino County, California",July 1985,(Class B), - Two men hear afternoon vocalization near Fort Bragg
"Mendocino County, California",July 1982,(Class A), - Creaure heard running away by campers. 
"Mendocino County, California", 1977,(Class B), - Witness heard stomping and crashing of small trees. 
"Mendocino County, California", 1976,(Class B), - Creature seen in the woods by hunter
"Mendocino County, California",September 1974,(Class A), - Hunter has daytime sighting near Dos Rios
"Mendocino County, California",August 1966,(Class A), - Teenagers have sighting of two creatures near Albion
"Mendocino County, California", 1963,(Class A), - Ceature observed at playground
"Modoc County, California",March 2001,(Class B), - Woman hears late night howl near Alturas
"Modoc County, California",October 1992,(Class B), - Hunter sees footprints near Alturas
"Modoc County, California",July 1974,(Class A), - Man has sighting near Alturas
"Mono County, California",July 2020,(Class B), - Possible sighting at Mono Lake at Sunrise
"Mono County, California",September 2015,(Class B), - Possible encounter at night by hunters camping at Virginia Lakes
"Mono County, California",June 2010,(Class B), - Possible howl heard by three family members while on vacation at June Lake
"Mono County, California",October 2007,(Class B), - Camper has a possible close encounter west of Mono Lake
"Mono County, California",September 2008,(Class B), - Tall figure seen crossing a field in Mammoth
"Mono County, California",May 1991,(Class A)," - Brief, blurry video footage of a possible sasquatch at Mono Lake"
"Mono County, California",Summer 1995,(Class B), - Father and son come across two sets of tracks while hunting near Benton.
"Mono County, California",July 2005,(Class B)," - Young man claims possible sighting at night near Lake Mary, outside Mammoth"
"Mono County, California",July 2007,(Class B), - Campers hear possible whoop-howls near Yosemite (Sawmill campground)
"Mono County, California",June 2006,(Class A), - Daylight sighting by motorist near Laurel Canyon in the Mammoth Lakes area
"Mono County, California",August 2005,(Class A), - Hiking family has daytime encounter in Sierra
"Mono County, California",May 2001,(Class B), - Campers hear late night scream near Mammoth Lakes
"Mono County, California",May 2001,(Class B), - Brothers hear late night howl in Mammoth Lakes
"Mono County, California",August 1980,(Class B)," - Hikers find footprints, hear sounds, etc., near Leavitt Meadows"
"Mono County, California",July 1977,(Class A), - Brothers have early evening sighting near Lee Vining
"Mono County, California",September 1976,(Class B), - Campers hear a vocalization near Tenaya Lake
"Monterey County, California",February 2002,(Class A), - Dusk sighting by hunter on Fort Hunter Liggett
"Monterey County, California",April 93/95,(Class A), - Daytime sightings by Forest Service employee near Arroyo Seco
"Monterey County, California",June 1986,(Class A), - Daylight sighting by hikers in Ventana Wilderness
"Monterey County, California",April 1974,(Class A), - Two teenage girls have daytime encounter on Big Sur Coast
"Napa County, California", 1989,(Class A), - Various incidents near rural homes in the Pope Valley area
"Nevada County, California",July 2006,(Class B), - Campers report possible approach in Malakoff Historical State Park
"Nevada County, California",August 2004,(Class A), - Retired Law Enforcement Officer Has Daytime Sighting
"Nevada County, California",January 2004,(Class A), - Family has two late night sightings near Nevada City
"Nevada County, California",December 2003,(Class B), - Child has daytime sighting near Grass Valley
"Nevada County, California",August 2002,(Class B), - Chicken pens being raided by unknown thief near Nevada City
"Nevada County, California",September 1993,(Class A), - Daylight sighting by camper 7-8 northwest of Independence Lake
"Nevada County, California",September 1987,(Class A), - Man recalls daytime sighting in a canyon outside Nevada City
"Nevada County, California",August 1986,(Class B), - Solo camper's late night encounter outside Truckee
"Nevada County, California",August 1984,(Class B), - Couple see large footprint near Emigrant Gap
"Nevada County, California",June 1978,(Class A), - Family has unusual experience outside Grass Valley
"Nevada County, California",Fall 1956,(Class A), - Teenager has daytime sighting near Truckee
"Placer County, California",September 2007,(Class B), - Possible sighting by family walking their dog near Auburn
"Placer County, California",October 2003,(Class B), - Fisherman hears late night scream near French Meadows Reservoir
"Placer County, California",July 2001,(Class A), - Three young men observe a bigfoot climb up a crevice
"Placer County, California",June 2000,(Class B), - Three people report screams near Foresthill
"Placer County, California",September 1998,(Class B), - A camper hears strange late night howls near Foresthill
"Placer County, California",Spring 1978,(Class B)," - Two fishermen have truck shaken early one morning, outside of Auburn"
"Plumas County, California",October 1998,(Class B), - Horrible screaming vocalizations heard
"Plumas County, California",June 1998,(Class B), - Fourteen inch by six inch tracks found
"Plumas County, California",Summer 1997-98,(Class B), - Man has interesting experiences outside of La Porte
"Plumas County, California",September 1996,(Class A), - Sighting of a bigfoot by a miner
"Plumas County, California",October 1995,(Class A), - Two sightings by locals from the town of Quincy
"Plumas County, California",August 1995,(Class B), - Stalking of Forest Service worker on Pacific Crest Trail outside Quincy
"Plumas County, California", 1992,(Class A), - Night time sighting by motorist in Feather River Canyon near Hwy 70 & 89 intersection.
"Riverside County, California",May 1979,(Class A), - Sighting off Indian Road behind isolated (at the time) Desert Hot Springs Condo complex
"Riverside County, California",August 2008,(Class B), - Camper hear knocks and camp stalking at Marion Mountain Campground
"Riverside County, California",November 2000,(Class B), - Young couple encounter something large on Lake Hemet
"Riverside County, California",June 2004,(Class B), - Backpackers hear whoops and tree push over SE of Round Valley in the Mt. San Jacinto Wilderness Area
"Riverside County, California",June 1990,(Class B), - Backpackers report screams and camp stalking near Dutchman's Flats outside Idyllwild
"Riverside County, California",Spring 1985,(Class C), - Reference to a local newspaper article about tracks found near Bautista Road
"San Bernardino County, California",August 2014,(Class A), - Daylight sighting by fisherman at Silverwood Lake near Hesperia
"San Bernardino County, California",August 2008,(Class B), - Mother and daughter describe possible howls close to their home near Big Bear City
"San Bernardino County, California",July 2009,(Class B)," - Sighting in Deep Creek Wilderness, near Lake Arrrowhead"
"San Bernardino County, California",August 2008,(Class B), - Native American experiences a close encounter from her backyard outside the San Bernadino National Forest
"San Bernardino County, California",June 1976,(Class A), - Young man has a midnight face-to-face encounter with an unknown creature
"San Bernardino County, California",August 1963,(Class B), - Eighteen year old young man has strange encounter on a dark gravel road. 
"San Bernardino County, California",May 2003,(Class B), - Young lady believes that the creature is back
"San Bernardino County, California",August 1997,(Class A), - Young lady on horse back has a face to face encounter one late afternoon
"San Bernardino County, California",October 1993,(Class A), - A camp site incident with multiple witnesses. The campers were approached while they were sleeping
"San Bernardino County, California",July 1975,(Class A), - A scout troop's late night sighting at the edge of their camp. Multiple witnesses. Reporting witness now a law enforcement officer
"San Bernardino County, California",July 1950,(Class A), - Sighting along Lytle Creek
"San Diego County, California",October 2019,(Class B), - Whoops and knocks at campground near Julian
"San Diego County, California",July 2012,(Class B)," - Possible knocks and chatter at Burnt Rancherias Campground, Laguna Mountain"
"San Diego County, California",Summer 1998,(Class B)," - Boundary Peak area, three witnesses observe strange humanlike tracks"
"San Diego County, California",July 1993,(Class A), - Daytime sighting by hiker on La Jolla Indian Reservation.
"San Diego County, California",July 1988,(Class B), -  Camper on Mount Palomar reports heavy biped running through campground late at night.
"San Diego County, California",May 1982,(Class A), - Late Night Encounter Near Meadow Above the Infantry Training School
"San Diego County, California",February 1981,(Class C), - A Local Writer Discusses Her Experiences Pursuing Local Reports and Legends
"San Diego County, California",September 1970,(Class B), - An Interview with a San Diego Sheriff's Sergeant Regarding a Series of Incidents after the Laguna Fire of 1970
"San Diego County, California",November 1968,(Class A), - Four Camp Pendleton soldiers confront bigfoot during nighttime training exercise
"San Luis Obispo County, California",Summer 1974,(Class A)," - Motorists encounter unusual creature on Highway 46 near Paso Robles, CA"
"Santa Barbara County, California",Fall 1975,(Class B), - Boar hunters find fresh footprints north of Lake Cachuma.
"Santa Barbara County, California",April 1982,(Class A), - High school teacher recalls a nighttime sighting while camping in the Los Padres National Forest
"Santa Cruz County, California",Spring 1998-2004,(Class A), - Family has sightings and encounters in Santa Cruz mountains
"Santa Cruz County, California",October 1980,(Class A), - Nighttime sighting by motorist near Mt. Madonna Park in the Santa Cruz Mountains
"Santa Cruz County, California",April 1958,(Class B), - Man describes possible sighting during childhood in Hinkley Basin
